trial_id,run_id,planner,actual_height_m,initial_estimate_m,sensor_profile,seed,status,attempted,passed,run_directory,error,failed_criteria,source_sha256,model_sha256,peak_normal_force_first_100ms_n,normal_impulse_first_100ms_ns,maximum_roll_pitch_change_during_landing_deg,maximum_com_reference_error_during_landing_m,lowering_to_touchdown_s,lowering_to_completion_s,completion_time_s,height_belief_error_at_contact_confirmation_m,planner_mean_compute_time_s,planner_maximum_compute_time_s,reference_projection_count,planner_fallback_count,observed_contact_timing,missing_contact_observed
eval_reactive_h-05mm_clean,pad_reactive_20260921T073116_115745Z,reactive,-0.005,0.0,clean,17,completed,True,True,/home/ibrahim/Documents/GO-2 PRIMP/primp_project/results/landing_pad/evaluation/pad_reactive_20260921T073116_115745Z,,,01d9de9112da805eb9590f2e13439d3f0584415016fc0c2b5c661161074f5cb0,,1.4492805128918373,0.13036615373799784,0.48238840824744744,0.015038937336033448,4.807999999997335,14.525999999992358,32.229999999993424,0.0006640313421057272,0.0001412091845214464,0.00016705499911040533,5.0,0.0,late,True
eval_predictive_h-05mm_clean,pad_predictive_20260921T073156_135681Z,predictive,-0.005,0.0,clean,17,completed,True,True,/home/ibrahim/Documents/GO-2 PRIMP/primp_project/results/landing_pad/evaluation/pad_predictive_20260921T073156_135681Z,,,01d9de9112da805eb9590f2e13439d3f0584415016fc0c2b5c661161074f5cb0,,1.4381959403291504,0.12868358422809595,0.4834949070077422,0.015027779447821226,4.809999999997334,14.585999999992431,32.2899999999935,0.0006857114971496603,0.0015268600293305045,0.0027015890009352006,0.0,0.0,late,True
eval_learned_h-05mm_clean,pad_learned_20260921T073235_006299Z,learned,-0.005,0.0,clean,17,completed,True,True,/home/ibrahim/Documents/GO-2 PRIMP/primp_project/results/landing_pad/evaluation/pad_learned_20260921T073235_006299Z,,,01d9de9112da805eb9590f2e13439d3f0584415016fc0c2b5c661161074f5cb0,dbd348e8f86bba50f1374b135816b8b0bec86af86d3496dac223dd3db585f5c5,1.3503031372511498,0.11882367253062641,0.46266701018162526,0.0151422717374863,4.725999999997381,14.495999999992321,32.19999999999339,0.0006889411107125652,0.0004938950000281443,0.0009500659998593619,19.0,20.0,late,True
eval_reactive_h+00mm_clean,pad_reactive_20260921T073314_050135Z,reactive,0.0,0.0,clean,17,completed,True,True,/home/ibrahim/Documents/GO-2 PRIMP/primp_project/results/landing_pad/evaluation/pad_reactive_20260921T073314_050135Z,,,01d9de9112da805eb9590f2e13439d3f0584415016fc0c2b5c661161074f5cb0,,1.5096711900047448,0.13884360833722417,0.496572746029852,0.015047005211204344,3.8859999999978463,13.591999999992467,31.295999999993533,0.0005779207563948455,0.00014438962367849478,0.00020349500118754804,7.0,0.0,approximately_planned,False
eval_predictive_h+00mm_clean,pad_predictive_20260921T073351_881991Z,predictive,0.0,0.0,clean,17,completed,True,True,/home/ibrahim/Documents/GO-2 PRIMP/primp_project/results/landing_pad/evaluation/pad_predictive_20260921T073351_881991Z,,,01d9de9112da805eb9590f2e13439d3f0584415016fc0c2b5c661161074f5cb0,,1.4839807652086316,0.1360925228925611,0.4978338734555428,0.015045776961222609,3.8859999999978463,13.691999999992412,31.395999999993478,0.0006323156040187914,0.0014934072143790087,0.0060674100004689535,0.0,0.0,approximately_planned,False
eval_learned_h+00mm_clean,pad_learned_20260921T073430_105158Z,learned,0.0,0.0,clean,17,completed,True,True,/home/ibrahim/Documents/GO-2 PRIMP/primp_project/results/landing_pad/evaluation/pad_learned_20260921T073430_105158Z,,,01d9de9112da805eb9590f2e13439d3f0584415016fc0c2b5c661161074f5cb0,dbd348e8f86bba50f1374b135816b8b0bec86af86d3496dac223dd3db585f5c5,1.941938437819587,0.16370718144018845,0.48817921762263045,0.015116664920326693,3.7539999999979194,13.581999999992473,31.28599999999354,0.0006669445861141296,0.0005006387262342503,0.0008197019997169264,15.0,3.0,approximately_planned,False
eval_reactive_h+05mm_clean,pad_reactive_20260921T073508_108531Z,reactive,0.005,0.0,clean,17,completed,True,True,/home/ibrahim/Documents/GO-2 PRIMP/primp_project/results/landing_pad/evaluation/pad_reactive_20260921T073508_108531Z,,,01d9de9112da805eb9590f2e13439d3f0584415016fc0c2b5c661161074f5cb0,,1.4515100580618048,0.1325570565373256,0.5091078771510662,0.015043435158446476,3.2919999999981755,13.023999999992782,30.72799999999385,0.0006129301182226923,0.00014441420525821368,0.00016908600082388148,12.0,0.0,early,False
eval_predictive_h+05mm_clean,pad_predictive_20260921T073545_475536Z,predictive,0.005,0.0,clean,17,completed,True,True,/home/ibrahim/Documents/GO-2 PRIMP/primp_project/results/landing_pad/evaluation/pad_predictive_20260921T073545_475536Z,,,01d9de9112da805eb9590f2e13439d3f0584415016fc0c2b5c661161074f5cb0,,1.4174159249195946,0.12949571585458228,0.5106588529836602,0.01507038972700783,3.2919999999981755,13.165999999992703,30.86999999999377,0.000674752886965101,0.001491499891852908,0.005637988000671612,3.0,0.0,early,False
eval_learned_h+05mm_clean,pad_learned_20260921T073622_969397Z,learned,0.005,0.0,clean,17,completed,True,True,/home/ibrahim/Documents/GO-2 PRIMP/primp_project/results/landing_pad/evaluation/pad_learned_20260921T073622_969397Z,,,01d9de9112da805eb9590f2e13439d3f0584415016fc0c2b5c661161074f5cb0,dbd348e8f86bba50f1374b135816b8b0bec86af86d3496dac223dd3db585f5c5,1.686974343343666,0.14948624897699112,0.5219197856007705,0.015040635850730955,3.4179999999981057,13.15199999999271,30.855999999993777,0.0006378039511653524,0.0004923980404537115,0.0007753409990982618,9.0,0.0,early,False
eval_reactive_h-05mm_noisy_delayed,pad_reactive_20260921T073700_409382Z,reactive,-0.005,0.0,noisy_delayed,17,completed,True,True,/home/ibrahim/Documents/GO-2 PRIMP/primp_project/results/landing_pad/evaluation/pad_reactive_20260921T073700_409382Z,,,01d9de9112da805eb9590f2e13439d3f0584415016fc0c2b5c661161074f5cb0,,1.448279031769231,0.12804405821211443,0.48099393186727185,0.015037945733818028,4.805999999997336,14.60999999999246,32.31399999999353,0.0005995066823883339,0.0001445805044616552,0.00016830900131026283,14.0,0.0,late,True
