case_id,seed,paired_records_complete,hidden_capacity_n,maximum_outcome,minimum_outcome,maximum_pad_damaged,minimum_pad_damaged,avoidable_damage_demonstrated,both_complete_undamaged,minimum_minus_maximum_probe_time_s,minimum_minus_maximum_actual_probe_peak_n,minimum_minus_maximum_trial_time_s
capacity48p5,211,True,48.5,RECOVERED_STOP,RECOVERED_STOP,True,True,False,False,0.23200000000000287,-0.07473820447557245,0.23200000000028353
capacity48p5,907,True,48.5,RECOVERED_STOP,RECOVERED_STOP,True,True,False,False,0.23400000000000176,-0.06557803463439171,0.23400000000028598
capacity49p5,211,True,49.5,RECOVERED_STOP,RECOVERED_STOP,True,True,False,False,0.32200000000000273,-0.11347013262187744,0.3220000000003935
capacity49p5,907,True,49.5,RECOVERED_STOP,RECOVERED_STOP,True,True,False,False,0.3260000000000005,-0.09156720757847125,0.3260000000003984
capacity50p5,211,True,50.5,RECOVERED_STOP,RECOVERED_STOP,True,True,False,False,0.588000000000001,-0.07089760906605846,0.5880000000007186
capacity50p5,907,True,50.5,RECOVERED_STOP,RECOVERED_STOP,True,True,False,False,0.5899999999999999,-0.02850895092814909,0.5900000000007211
capacity51p0,211,True,51.0,RECOVERED_STOP,RECOVERED_STOP,True,True,False,False,0.6899999999999977,-0.07506388086196836,0.6900000000008433
capacity51p0,907,True,51.0,RECOVERED_STOP,RECOVERED_STOP,True,True,False,False,0.7019999999999982,-0.0756822046374026,0.7020000000008579
capacity52p0,211,True,52.0,RECOVERED_STOP,SUCCESS,True,False,True,False,4.974,-0.9636834543337756,13.70600000001675
capacity52p0,907,True,52.0,RECOVERED_STOP,SUCCESS,True,False,True,False,4.972000000000001,-0.9821225735921786,13.780000000016841
capacity53p0,211,True,53.0,RECOVERED_STOP,SUCCESS,True,False,True,False,4.658000000000001,-2.0003803486760603,13.390000000016364
capacity53p0,907,True,53.0,RECOVERED_STOP,SUCCESS,True,False,True,False,4.655999999999999,-2.0064786763970375,13.464000000016455
capacity54p0,211,True,54.0,SUCCESS,SUCCESS,False,False,False,True,0.047999999999998266,-2.65827821169961,0.022000000000026887
capacity54p0,907,True,54.0,SUCCESS,SUCCESS,False,False,False,True,0.047999999999998266,-2.6560539144267565,0.09800000000011977
capacity56p0,211,True,56.0,SUCCESS,SUCCESS,False,False,False,True,0.047999999999998266,-2.65827821169961,0.022000000000026887
capacity56p0,907,True,56.0,SUCCESS,SUCCESS,False,False,False,True,0.047999999999998266,-2.6560539144267565,0.09800000000011977
