time_s,leg,event,phase,planned_support,normal_force_N
0.006,FR,touchdown,stand,True,46.77786371140439
0.006,RL,touchdown,stand,True,52.15307365537252
0.006,RR,touchdown,stand,True,43.991311072036
0.008,FL,touchdown,stand,True,49.55954200165401
9.177999999999734,FL,liftoff,unload,True,0.0
21.601999999998906,FL,touchdown,lower,False,1.5175685889929287
52.27200000001792,FR,liftoff,next_unload,True,0.0
52.27600000001792,FR,touchdown,next_unload,True,1.0880884038247165
52.30000000001795,FR,liftoff,next_unload,True,0.0
52.30400000001796,FR,touchdown,next_unload,True,1.0443994469861788
52.32400000001798,FR,liftoff,next_unload,True,0.0
52.32800000001799,FR,touchdown,next_unload,True,1.0054029417126795
52.342000000018004,FR,liftoff,next_unload,True,0.0
52.344000000018006,FR,touchdown,next_unload,True,0.9379605827512132
52.34800000001801,FR,liftoff,next_unload,True,0.0
52.350000000018014,FR,touchdown,next_unload,True,0.9571613477003208
52.360000000018026,FR,liftoff,next_unload,True,0.0
52.36400000001803,FR,touchdown,next_unload,True,0.9629698962298857
52.37800000001805,FR,liftoff,next_unload,True,0.0
52.38200000001805,FR,touchdown,next_unload,True,0.9191836914180768
52.392000000018065,FR,liftoff,next_unload,True,0.0
52.39400000001807,FR,touchdown,next_unload,True,0.872762959877215
52.39800000001807,FR,liftoff,next_unload,True,0.0
52.400000000018075,FR,touchdown,next_unload,True,0.881542603279893
52.40600000001808,FR,liftoff,next_unload,True,0.0
52.408000000018085,FR,touchdown,next_unload,True,0.8512498275702995
52.41200000001809,FR,liftoff,next_unload,True,0.0
52.41400000001809,FR,touchdown,next_unload,True,0.8564901556317578
52.4200000000181,FR,liftoff,next_unload,True,0.0
52.4220000000181,FR,touchdown,next_unload,True,0.8459232058727422
52.42600000001811,FR,liftoff,next_unload,True,0.0
52.42800000001811,FR,touchdown,next_unload,True,0.8496913266443156
52.434000000018116,FR,liftoff,next_unload,True,0.0
52.43600000001812,FR,touchdown,next_unload,True,0.8214887425504894
52.440000000018124,FR,liftoff,next_unload,True,0.0
52.442000000018126,FR,touchdown,next_unload,True,0.8308784919312271
52.44800000001813,FR,liftoff,next_unload,True,0.0
52.45200000001814,FR,touchdown,next_unload,True,0.8387733073857228
52.46200000001815,FR,liftoff,next_unload,True,0.0
52.466000000018155,FR,touchdown,next_unload,True,0.8241167778577587
52.47600000001817,FR,liftoff,next_unload,True,0.0
52.482000000018175,FR,touchdown,next_unload,True,0.8162403800158804
52.49600000001819,FR,liftoff,next_unload,True,0.0
52.5020000000182,FR,touchdown,next_unload,True,0.7786878608285663
52.51200000001821,FR,liftoff,next_unload,True,0.0
52.51600000001822,FR,touchdown,next_unload,True,0.7596227514084469
52.522000000018224,FR,liftoff,next_unload,True,0.0
52.52600000001823,FR,touchdown,next_unload,True,0.7592627613022661
52.53600000001824,FR,liftoff,next_unload,True,0.0
52.540000000018246,FR,touchdown,next_unload,True,0.7240622699726025
52.54400000001825,FR,liftoff,next_unload,True,0.0
52.54600000001825,FR,touchdown,next_unload,True,0.707947990416175
52.55200000001826,FR,liftoff,next_unload,True,0.0
52.556000000018265,FR,touchdown,next_unload,True,0.7304830410209778
52.564000000018275,FR,liftoff,next_unload,True,0.0
52.56800000001828,FR,touchdown,next_unload,True,0.7061550815390386
52.57400000001829,FR,liftoff,next_unload,True,0.0
52.57600000001829,FR,touchdown,next_unload,True,0.6756422927337336
52.57800000001829,FR,liftoff,next_unload,True,0.0
52.580000000018295,FR,touchdown,next_unload,True,0.6842212545484078
52.5860000000183,FR,liftoff,next_unload,True,0.0
52.59000000001831,FR,touchdown,next_unload,True,0.6800597988729201
52.59800000001832,FR,liftoff,next_unload,True,0.0
52.60200000001832,FR,touchdown,next_unload,True,0.6684613489998007
52.60800000001833,FR,liftoff,next_unload,True,0.0
52.612000000018334,FR,touchdown,next_unload,True,0.6671128871778839
52.620000000018344,FR,liftoff,next_unload,True,0.0
52.62400000001835,FR,touchdown,next_unload,True,0.6621580105282351
52.63200000001836,FR,liftoff,next_unload,True,0.0
52.63600000001836,FR,touchdown,next_unload,True,0.6480907476087929
52.64200000001837,FR,liftoff,next_unload,True,0.0
52.646000000018375,FR,touchdown,next_unload,True,0.6475890720931781
52.65600000001839,FR,liftoff,next_unload,True,0.0
52.662000000018395,FR,touchdown,next_unload,True,0.6346995127719031
52.67200000001841,FR,liftoff,next_unload,True,0.0
52.67600000001841,FR,touchdown,next_unload,True,0.6209436138310467
52.68400000001842,FR,liftoff,next_unload,True,0.0
