trial_id,case_id,task_id,probe_policy,seed,condition_role,outcome,physical_success,pad_damaged,hidden_capacity_n,requested_task_progress_m,fixed_probe_force_n,minimum_future_load_n,minimum_sufficient_test_target_n,selected_additional_probe_target_n,maximum_actual_probe_force_n,maximum_measured_probe_force_n,maximum_commanded_probe_force_n,maximum_certified_force_n,maximum_actual_future_pad_force_n,probe_time_s,deliberate_probe_time_s,additional_probe_time_s,recovery_time_s,total_trial_time_s,recovery_unload_delay_s,recovery_stable_hold_s,maximum_pad_displacement_m,pad_failure_time_s,pad_failure_phase,final_forward_com_motion_m,maximum_next_foot_clearance_m,simultaneous_progress_hold_s,task_specific_simultaneous_hold_s,task_specific_terminal_minimum_progress_m
progress36_capacity51p5_fixed_force_seed311,progress36_capacity51p5,progress36,fixed_force,311,held_out,RECOVERED_STOP,False,True,51.5,0.036,52.5,39.082574315924795,48.08357431592479,52.5,51.515172666269414,51.099200262267374,52.5,10.501502493019448,,16.572,9.302,8.366,5.104,43.69600000000744,0.0,3.3500000000040915,0.05999999999999999,38.56800000000117,probe_ramp,0.08512690404916688,,0.0,,
progress36_capacity51p5_fixed_force_seed1201,progress36_capacity51p5,progress36,fixed_force,1201,held_out,RECOVERED_STOP,False,True,51.5,0.036,52.5,39.073514814271654,48.07451481427165,52.5,51.541277066929766,51.12398982520066,52.5,10.509399633377082,,16.576,9.308,8.370000000000001,5.104,43.726000000007474,0.0,3.3500000000040915,0.05999999999999999,38.59800000000121,probe_ramp,0.08515354242808627,,0.0,,
progress36_capacity51p5_task_sufficient_seed311,progress36_capacity51p5,progress36,task_sufficient,311,held_out,SUCCESS,True,False,51.5,0.036,52.5,39.082574315924795,48.08357431592479,49.08357431592479,49.52119849349004,49.11047209737694,49.08357431592479,47.50724597828157,39.46943071630829,21.548000000000002,12.004,13.342,0.0,57.50000000002431,,0.0,-0.0,,,0.03637909277034458,0.02972601113619594,3.122000000003813,3.122000000003813,0.036377807344216265
progress36_capacity51p5_task_sufficient_seed1201,progress36_capacity51p5,progress36,task_sufficient,1201,held_out,SUCCESS,True,False,51.5,0.036,52.5,39.073514814271654,48.07451481427165,49.07451481427165,49.511524436004144,49.10114325547661,49.07451481427165,47.47101839662669,39.501778388522524,21.546,12.004,13.34,0.0,57.39800000002418,,0.0,-0.0,,,0.03651930118134752,0.02971703636521278,3.1240000000038153,3.1240000000038153,0.03651798125143819
progress36_capacity55p0_fixed_force_seed311,progress36_capacity55p0,progress36,fixed_force,311,held_out,SUCCESS,True,False,55.0,0.036,52.5,39.082574315924795,48.08357431592479,52.5,53.052893815895146,52.64046454659288,52.5,50.95746480781696,39.52928350987965,21.474,12.004,13.268,0.0,57.47800000002428,,0.0,-0.0,,,0.035995344696976246,0.029669250777044895,3.122000000003813,3.122000000003813,0.03599405927084793
progress36_capacity55p0_fixed_force_seed1201,progress36_capacity55p0,progress36,fixed_force,1201,held_out,SUCCESS,True,False,55.0,0.036,52.5,39.073514814271654,48.07451481427165,52.5,53.052176802706036,52.645486030315844,52.5,50.98396880827526,39.514240305998854,21.472,12.004,13.266,0.0,57.50400000002431,,0.0,-0.0,,,0.03599601091523716,0.0296693676636427,3.122000000003813,3.122000000003813,0.03599469098532783
progress36_capacity55p0_task_sufficient_seed311,progress36_capacity55p0,progress36,task_sufficient,311,held_out,SUCCESS,True,False,55.0,0.036,52.5,39.082574315924795,48.08357431592479,49.08357431592479,49.52119849349004,49.11047209737694,49.08357431592479,47.50724597828157,39.46943071630829,21.548000000000002,12.004,13.342,0.0,57.50000000002431,,0.0,-0.0,,,0.03637909277034458,0.02972601113619594,3.122000000003813,3.122000000003813,0.036377807344216265
progress36_capacity55p0_task_sufficient_seed1201,progress36_capacity55p0,progress36,task_sufficient,1201,held_out,SUCCESS,True,False,55.0,0.036,52.5,39.073514814271654,48.07451481427165,49.07451481427165,49.511524436004144,49.10114325547661,49.07451481427165,47.47101839662669,39.501778388522524,21.546,12.004,13.34,0.0,57.39800000002418,,0.0,-0.0,,,0.03651930118134752,0.02971703636521278,3.1240000000038153,3.1240000000038153,0.03651798125143819
progress40_capacity51p5_fixed_force_seed311,progress40_capacity51p5,progress40,fixed_force,311,held_out,RECOVERED_STOP,False,True,51.5,0.04,52.5,40.56515608439742,49.56615608439742,52.5,51.515172666269414,51.099200262267374,52.5,10.501502493019448,,16.572,9.302,8.366,5.104,43.69600000000744,0.0,3.3500000000040915,0.05999999999999999,38.56800000000117,probe_ramp,0.08512690404916688,,0.0,,
progress40_capacity51p5_fixed_force_seed1201,progress40_capacity51p5,progress40,fixed_force,1201,held_out,RECOVERED_STOP,False,True,51.5,0.04,52.5,40.556009758125974,49.55700975812597,52.5,51.541277066929766,51.12398982520066,52.5,10.509399633377082,,16.576,9.308,8.370000000000001,5.104,43.726000000007474,0.0,3.3500000000040915,0.05999999999999999,38.59800000000121,probe_ramp,0.08515354242808627,,0.0,,
